brand,name,slug
abarth,500,500
abarth,Grande Punto,grande-punto
abarth,Punto Evo,punto-evo
abarth,500c,500c
abarth,695,695
abarth,Punto,punto
alfa-romeo,155,155
alfa-romeo,156,156
alfa-romeo,159,159
alfa-romeo,164,164
alfa-romeo,145,145
alfa-romeo,147,147
alfa-romeo,146,146
alfa-romeo,Gtv,gtv
alfa-romeo,Spider,spider
alfa-romeo,166,166
alfa-romeo,Gt,gt
alfa-romeo,Crosswagon,crosswagon
alfa-romeo,Brera,brera
alfa-romeo,90,90
alfa-romeo,75,75
alfa-romeo,33,33
alfa-romeo,Giulietta,giulietta
alfa-romeo,Sprint,sprint
alfa-romeo,Mito,mito
aro,Expander,expander
aro,10,10
aro,24,24
aro,Dacia,dacia
asia,Rocsta,rocsta
asia-motors,Rocsta,rocsta
aston-martin,Db7,db7
aston-martin,V8,v8
aston-martin,Db9,db9
aston-martin,Vanquish,vanquish
aston-martin,V8 Vantage,v8-vantage
aston-martin,Vantage,vantage
aston-martin,Dbs,dbs
aston-martin,Volante,volante
aston-martin,Virage,virage
aston-martin,Vantage V8,vantage-v8
aston-martin,Vantage V12,vantage-v12
aston-martin,Rapide,rapide
aston-martin,Cygnet,cygnet
audi,80,80
audi,A4,a4
audi,A6,a6
audi,S6,s6
audi,Coupe,coupe
audi,S2,s2
audi,Rs2,rs2
audi,A8,a8
audi,Cabriolet,cabriolet
audi,S8,s8
audi,A3,a3
audi,S4,s4
audi,Tt,tt
audi,S3,s3
audi,Allroad Quattro,allroad-quattro
audi,Rs4,rs4
audi,A2,a2
audi,Rs6,rs6
audi,Q7,q7
audi,R8,r8
audi,A5,a5
audi,S5,s5
audi,V8,v8
audi,200,200
audi,100,100
audi,90,90
audi,Tts,tts
audi,Q5,q5
audi,A4 Allroad Quattro,a4-allroad-quattro
audi,Tt Rs,tt-rs
audi,Rs5,rs5
audi,A1,a1
audi,A7,a7
audi,Rs3,rs3
audi,Q3,q3
audi,A6 Allroad Quattro,a6-allroad-quattro
audi,S7,s7
audi,Sq5,sq5
austin,Mini,mini
austin,Montego,montego
austin,Maestro,maestro
austin,Metro,metro
austin,Mini Moke,mini-moke
auverland,Diesel,diesel
bentley,Brooklands,brooklands
bentley,Turbo,turbo
bentley,Continental,continental
bentley,Azure,azure
bentley,Arnage,arnage
bentley,Continental Gt,continental-gt
bentley,Continental Flying Spur,continental-flying-spur
bentley,Turbo R,turbo-r
bentley,Mulsanne,mulsanne
bentley,Eight,eight
bentley,Continental Gtc,continental-gtc
bentley,Continental Supersports,continental-supersports
bertone,Freeclimber Diesel,freeclimber-diesel
bmw,Serie 3,serie-3
bmw,Serie 5,serie-5
bmw,Compact,compact
bmw,Serie 7,serie-7
bmw,Serie 8,serie-8
bmw,Z3,z3
bmw,Z4,z4
bmw,Z8,z8
bmw,X5,x5
bmw,Serie 6,serie-6
bmw,X3,x3
bmw,Serie 1,serie-1
bmw,Z1,z1
bmw,X6,x6
bmw,X1,x1
cadillac,Seville,seville
cadillac,Sts,sts
cadillac,El Dorado,el-dorado
cadillac,Cts,cts
cadillac,Xlr,xlr
cadillac,Srx,srx
cadillac,Escalade,escalade
cadillac,Bls,bls
chevrolet,Corvette,corvette
chevrolet,Blazer,blazer
chevrolet,Astro,astro
chevrolet,Nubira,nubira
chevrolet,Evanda,evanda
chevrolet,Trans Sport,trans-sport
chevrolet,Camaro,camaro
chevrolet,Matiz,matiz
chevrolet,Alero,alero
chevrolet,Tahoe,tahoe
chevrolet,Tacuma,tacuma
chevrolet,Trailblazer,trailblazer
chevrolet,Kalos,kalos
chevrolet,Aveo,aveo
chevrolet,Lacetti,lacetti
chevrolet,Epica,epica
chevrolet,Captiva,captiva
chevrolet,Hhr,hhr
chevrolet,Cruze,cruze
chevrolet,Spark,spark
chevrolet,Orlando,orlando
chevrolet,Volt,volt
chevrolet,Malibu,malibu
chrysler,Vision,vision
chrysler,300m,300m
chrysler,Grand Voyager,grand-voyager
chrysler,Viper,viper
chrysler,Neon,neon
chrysler,Voyager,voyager
chrysler,Stratus,stratus
chrysler,Sebring,sebring
chrysler,Sebring 200c,sebring-200c
chrysler,New Yorker,new-yorker
chrysler,Pt Cruiser,pt-cruiser
chrysler,Crossfire,crossfire
chrysler,300c,300c
chrysler,Le Baron,le-baron
chrysler,Saratoga,saratoga
citroen,Xantia,xantia
citroen,Xm,xm
citroen,Ax,ax
citroen,Zx,zx
